,name,_timestamp,final/radius,final/mape_train,metrics/mape_val,runtime (secs),final/%rmse_val,final/loss_train,final/loss_val,final/mape_val,final/mape_test,final/%rmse_test,_step,loss/val,loss/train,final/scaling,metrics/%rmse_val,_runtime,train time,final/loss_test,final/%rmse_train,loss,seed,model,epochs,dropout,scaling,distance,batch_size,len_sequence,multiplicity,weight_decay,learning_rate,embedding_size,num_val_sequences,num_test_sequences,num_train_sequences
0,cnn_euclidean_128,1683575723,,0.05371999851333631,0.06094765032180632,3023,0.8884278320984792,3.564976784495135e-05,7.893040128472036e-05,0.05579350252419409,0.06078940573454703,0.8793189060910801,143,0.00010273028188620252,3.800400207064858e-05,,1.0135594796863303,3022,2996.8319776058197,7.732017386092136e-05,0.5970742654389933,mse,46,cnn,500,0,False,euclidean,128,2368,11,0,0.001,128,100,150,7000
1,cnn_euclidean_128,1683572687,,0.04821573232036906,0.057183736418232774,5916,0.8038283927193524,2.9729508356396833e-05,6.461400849417773e-05,0.05648774361369586,0.057901519508969865,0.8467745284337345,281,7.274829055243784e-05,2.871216323367296e-05,,0.8529260844436513,5915,5891.983669519424,7.170271020041731e-05,0.5452477267847784,mse,45,cnn,500,0,False,euclidean,128,2368,11,0,0.001,128,100,150,7000
2,cnn_euclidean_128,1683566759,,0.05272637275887,0.05441964222626253,6034,0.8233632360205058,3.5926381873296474e-05,6.779270184301592e-05,0.05480941656261983,0.060744989615025405,0.8569195702784577,289,8.847404631634356e-05,3.523720073507639e-05,,0.9406064337242414,6033,6009.68554186821,7.343111499262165e-05,0.5993862016537957,mse,44,cnn,500,0,False,euclidean,128,2368,11,0,0.001,128,100,150,7000
3,cnn_euclidean_128,1683560713,,0.048806062970649114,0.05375951343413555,3583,0.8618290708349333,3.04462314625316e-05,7.427493473362046e-05,0.0548301734812934,0.0560104542547291,0.812125066767713,193,7.926274440839247e-05,3.0849328204685545e-05,,0.890296267589573,3581,3557.71214222908,6.595471240724624e-05,0.5517810386605506,mse,43,cnn,500,0,False,euclidean,128,2368,11,0,0.001,128,100,150,7000
4,cnn_euclidean_64,1683557122,,0.04841462781367364,0.05164601412686435,4112,0.78962101523868,3.174118662340712e-05,6.235013477065638e-05,0.04994192974735992,0.054468865254581375,0.7821852826678232,239,7.403123673290305e-05,2.9182536982025576e-05,,0.8604140673704902,4111,4092.97677731514,6.118138164221423e-05,0.5633931719803419,mse,46,cnn,500,0,False,euclidean,128,2368,11,0,0.001,64,100,150,7000
5,cnn_euclidean_64,1683553001,,0.05274304927014685,0.05693227413025769,3245,0.9338288742131826,3.97604165157279e-05,8.720363663142603e-05,0.05506696993804941,0.059695721566677094,0.8870052145031497,192,0.00011543976557511612,3.385961021341281e-05,,1.0744289905578503,3244,3225.304899454117,7.867782505557787e-05,0.6305586135778964,mse,45,cnn,500,0,False,euclidean,128,2368,11,0,0.001,64,100,150,7000
6,cnn_euclidean_64,1683549744,,0.049982536165745224,0.06233522325453132,3134,0.792652974768446,3.535018792994284e-05,6.282987384092665e-05,0.04994620869105512,0.056604219430711714,0.8056558413002374,156,0.00010911711215892938,3.9163912332944825e-05,,1.0445913658408696,3133,3109.11678981781,6.490813346211934e-05,0.5945602402611769,mse,44,cnn,500,0,False,euclidean,128,2368,11,0,0.001,64,100,150,7000
7,cnn_euclidean_64,1683546597,,0.04958546538147834,0.058007029048120134,2933,0.884232556623429,3.437319156780307e-05,7.818672141928057e-05,0.056171351082698266,0.05770453088235535,0.8132881244856529,145,9.753009302052434e-05,3.8902930240675974e-05,,0.987573253083154,2933,2908.2655091285706,6.614375734293909e-05,0.5862865474134902,mse,43,cnn,500,0,False,euclidean,128,2368,11,0,0.001,64,100,150,7000
8,cnn_euclidean_32,1683543649,,0.05138492868047256,0.05842740704916945,3315,0.9293288703366588,4.120149682487615e-05,8.636521492412107e-05,0.05646702080061942,0.05648395049091953,0.9323194315538436,164,0.00010651065518484554,4.3425099847478455e-05,,1.0320399952755976,3314,3290.0651621818542,8.69219522452882e-05,0.6418839211639138,mse,46,cnn,500,0,False,euclidean,128,2368,11,0,0.001,32,100,150,7000
9,cnn_euclidean_32,1683540321,,0.053521406278401226,0.06458886578679085,2532,1.0431765665621948,5.061098374161785e-05,0.00010882173490244896,0.061237404394631434,0.0627558246041571,0.950032397717434,126,0.0001467913718814162,4.444942757235568e-05,,1.2115748919543363,2531,2507.0920763015747,9.025615567127368e-05,0.7114139704955045,mse,45,cnn,500,0,False,euclidean,128,2368,11,0,0.001,32,100,150,7000
