"Name","distance","embedding_size","final/%rmse_test","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","epochs","learning_rate","len_sequence","loss","model","multiplicity","num_test_sequences","num_train_sequences","num_val_sequences","scaling","seed","weight_decay","loss/train","loss/val","metrics/%rmse_val","metrics/mape_val","final/%rmse_train","final/%rmse_val","final/loss_test","final/loss_train","final/loss_val","final/mape_test","final/mape_train","final/mape_val","final/radius","final/scaling","train time"
"cnn_euclidean_128","euclidean","128","0.8793189060910801","finished","-","eitan-turok","","2023-05-08T19:05:02.000Z","3026","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","false","46","0","0.00003800400207064858","0.00010273028188620252","1.0135594796863303","0.06094765032180632","0.5970742654389933","0.8884278320984792","0.00007732017386092136","0.00003564976784495135","0.00007893040128472036","0.06078940573454703","0.05371999851333631","0.05579350252419409","","","2996.8319776058197"
"cnn_euclidean_128","euclidean","128","0.8467745284337345","finished","-","eitan-turok","","2023-05-08T17:26:13.000Z","5919","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","false","45","0","0.00002871216323367296","0.00007274829055243784","0.8529260844436513","0.057183736418232774","0.5452477267847784","0.8038283927193524","0.00007170271020041731","0.000029729508356396833","0.00006461400849417773","0.057901519508969865","0.04821573232036906","0.05648774361369586","","","5891.983669519424"
"cnn_euclidean_128","euclidean","128","0.8569195702784577","finished","-","eitan-turok","","2023-05-08T15:45:27.000Z","6037","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","false","44","0","0.00003523720073507639","0.00008847404631634356","0.9406064337242414","0.05441964222626253","0.5993862016537957","0.8233632360205058","0.00007343111499262165","0.000035926381873296474","0.00006779270184301592","0.060744989615025405","0.05272637275887","0.05480941656261983","","","6009.68554186821"
"cnn_euclidean_128","euclidean","128","0.812125066767713","finished","-","eitan-turok","","2023-05-08T14:45:32.000Z","3586","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","false","43","0","0.000030849328204685545","0.00007926274440839247","0.890296267589573","0.05375951343413555","0.5517810386605506","0.8618290708349333","0.00006595471240724624","0.0000304462314625316","0.00007427493473362046","0.0560104542547291","0.048806062970649114","0.0548301734812934","","","3557.71214222908"
"cnn_euclidean_64","euclidean","64","0.7821852826678232","finished","-","eitan-turok","","2023-05-08T13:36:51.000Z","4116","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","false","46","0","0.000029182536982025576","0.00007403123673290305","0.8604140673704902","0.05164601412686435","0.5633931719803419","0.78962101523868","0.00006118138164221423","0.00003174118662340712","0.00006235013477065638","0.054468865254581375","0.04841462781367364","0.04994192974735992","","","4092.97677731514"
"cnn_euclidean_64","euclidean","64","0.8870052145031497","finished","-","eitan-turok","","2023-05-08T12:42:39.000Z","3247","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","false","45","0","0.00003385961021341281","0.00011543976557511612","1.0744289905578503","0.05693227413025769","0.6305586135778964","0.9338288742131826","0.00007867782505557787","0.0000397604165157279","0.00008720363663142603","0.059695721566677094","0.05274304927014685","0.05506696993804941","","","3225.304899454117"
"cnn_euclidean_64","euclidean","64","0.8056558413002374","finished","-","eitan-turok","","2023-05-08T11:50:12.000Z","3137","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","false","44","0","0.000039163912332944825","0.00010911711215892938","1.0445913658408696","0.06233522325453132","0.5945602402611769","0.792652974768446","0.00006490813346211934","0.00003535018792994284","0.00006282987384092665","0.056604219430711714","0.049982536165745224","0.04994620869105512","","","3109.11678981781"
"cnn_euclidean_64","euclidean","64","0.8132881244856529","finished","-","eitan-turok","","2023-05-08T11:01:06.000Z","2936","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","false","43","0","0.000038902930240675974","0.00009753009302052434","0.987573253083154","0.058007029048120134","0.5862865474134902","0.884232556623429","0.00006614375734293909","0.00003437319156780307","0.00007818672141928057","0.05770453088235535","0.04958546538147834","0.056171351082698266","","","2908.2655091285706"
"cnn_euclidean_32","euclidean","32","0.9323194315538436","finished","-","eitan-turok","","2023-05-08T10:05:36.000Z","3320","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","false","46","0","0.000043425099847478455","0.00010651065518484554","1.0320399952755976","0.05842740704916945","0.6418839211639138","0.9293288703366588","0.0000869219522452882","0.00004120149682487615","0.00008636521492412107","0.05648395049091953","0.05138492868047256","0.05646702080061942","","","3290.0651621818542"
"cnn_euclidean_32","euclidean","32","0.950032397717434","finished","-","eitan-turok","","2023-05-08T09:23:11.000Z","2535","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","false","45","0","0.00004444942757235568","0.0001467913718814162","1.2115748919543363","0.06458886578679085","0.7114139704955045","1.0431765665621948","0.00009025615567127368","0.00005061098374161785","0.00010882173490244896","0.0627558246041571","0.053521406278401226","0.061237404394631434","","","2507.0920763015747"
"cnn_euclidean_32","euclidean","32","0.9378589734365292","finished","-","eitan-turok","","2023-05-08T08:30:34.000Z","3147","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","false","44","0","0.000041733173875730825","0.00013703382035453964","1.1706144555511846","0.06178472663642782","0.6989799417915427","1.015608238892013","0.00008795794540554206","0.000048857295902690835","0.0001031460094905336","0.060890996195459256","0.05402517143530505","0.06240888993396904","","","3118.545121908188"
"cnn_euclidean_32","euclidean","32","0.9665143264315028","finished","-","eitan-turok","","2023-05-08T07:01:10.000Z","5354","","128","0","500","0.001","2368","mse","cnn","11","150","7000","100","false","43","0","0.000040830986910876095","0.00008320397895530355","0.9121621509101524","0.05357295678119467","0.6486231764837356","0.8750092335993427","0.00009341499431973418","0.00004207120250718511","0.0000765641158884109","0.05857853465465625","0.049581186019367986","0.05228350949106794","","","5325.749840497971"
