"Name","State","distance","embedding_size","epochs","final/%rmse_test","final/radius","final/scaling","train time","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","learning_rate","len_sequence","loss","model","multiplicity","num_test_sequences","num_train_sequences","num_val_sequences","scaling","seed","weight_decay","final/%rmse_train","final/%rmse_val","final/loss_test","final/loss_train","final/loss_val","final/mape_test","final/mape_train","final/mape_val","loss/train","loss/val","metrics/%rmse_val","metrics/mape_val"
"cnn_euclidean_128","finished","euclidean","128","100","0.8812344786388402","","","1474.6159896850586","-","eitan-turok","","2023-04-29T16:29:56.000Z","1498","","128","0","0.001","2368","mse","cnn","11","150","7000","100","false","42","0","0.6561374956768388","0.9101566871820188","0.00007765742063418684","0.00004305164132330736","0.0000828385195222147","0.06219384951612827","0.05232541953085305","0.05620334683042584","0.00003926885296747863","0.0001331170708131553","1.1537637141683532","0.06011907286866747"
"cnn_euclidean_16","finished","euclidean","16","100","1.300356442347288","","","1263.675369977951","-","eitan-turok","","2023-04-29T16:05:11.000Z","1286","","128","0","0.001","2368","mse","cnn","11","150","7000","100","false","42","0","1.0725070222927866","1.30266011790226","0.00016909268771540958","0.00011502713128673396","0.000169692338277313","0.07770170258128936","0.06675040623003786","0.07168246653946964","0.00009054670087742172","0.0002534344534135678","1.59196247887181","0.07437157404543174"
"cnn_hyperbolic_128","finished","hyperbolic","128","100","0.6817733348291024","0.11074307560920715","1.1246079206466677","1624.4742987155914","-","eitan-turok","","2023-04-29T15:37:33.000Z","1649","","128","0","0.001","2368","mse","cnn","11","150","7000","100","true","42","0","0.46453205151353383","0.6923677609891811","0.00004648148800839953","0.000021579002688337245","0.000047937311645717166","0.042329496706958854","0.03514564832948245","0.04141535222379848","0.00001743700409265743","0.000052348793904071275","0.7235246637404372","0.041569103931989336"
"cnn_hyperbolic_16","finished","hyperbolic","16","100","1.0798964067246053","0.11748313158750534","1.0028642416000366","1645.607893705368","-","eitan-turok","","2023-04-29T15:09:23.000Z","1678","","128","0","0.001","2368","mse","cnn","11","150","7000","100","true","42","0","0.8905791454647486","1.0485499166351522","0.00011661762492567138","0.00007931312143367219","0.00010994569276755844","0.0579508055126507","0.05081609773713273","0.05639149321450127","0.00007783254964259005","0.00011548390988886092","1.0746344024311754","0.05606541474660238"
"cnn_hyperbolic_8","finished","hyperbolic","8","100","1.7190516934996156","0.08745178580284119","0.8102075457572937","1991.0678124427795","-","eitan-turok","","2023-04-26T21:10:38.000Z","2014","","128","0","0.001","2368","mse","cnn","11","150","7000","100","true","42","0","1.7239789485398838","1.5993705980522914","0.00029551387249238966","0.0002972103415008683","0.0002557986309914144","0.09168385444738188","0.08900603390127033","0.08581458188367612","0.00027379051037737496","0.0002696866554741964","1.6422139186908518","0.08946683773187676"
"cnn_hyperbolic_6","finished","hyperbolic","6","100","2.231479459716639","0.13879653811454773","0.4886351525783539","1703.7387804985046","-","eitan-turok","","2023-04-26T20:41:32.000Z","1735","","128","0","0.001","2368","mse","cnn","11","150","7000","100","true","42","0","2.1986827161443654","2.1172617484055785","0.0004979500579137264","0.00048342056862719647","0.0004482797311261447","0.11915755960565286","0.11689308454154372","0.11282736743941452","0.00047098289108109454","0.0004651917581390026","2.156830447993079","0.11412632326887112"
"cnn_hyperbolic_4","finished","hyperbolic","4","100","1.4480300954446783","0.9871203899383544","0.024434072896838188","1522.5026371479034","-","eitan-turok","","2023-04-26T20:15:39.000Z","1545","","128","0","0.001","2368","mse","cnn","11","150","7000","100","true","42","0","1.4059097965169858","1.4893254762401478","0.00020967911573135245","0.0001976582355942432","0.00022180903741779424","0.08973889974739728","0.08953926825058925","0.0908205908205774","0.0002059420477734975","0.00022657279068053783","1.5052335057410124","0.09467251191386068"
"cnn_hyperbolic_2","finished","hyperbolic","2","100","2.851823856244233","1.0009342432022097","0.012816371396183968","1518.4239723682404","-","eitan-turok","","2023-04-26T19:49:50.000Z","1541","","128","0","0.001","2368","mse","cnn","11","150","7000","100","true","42","0","3.0068205266055985","2.966976461558331","0.0008132899307043728","0.000904096967921677","0.0008802949323441193","0.2613254310127339","0.32994831994911294","0.27610338620465213","0.0012424611044116315","0.0011558625391787953","3.3997978457237648","0.31697691166641734"
"cnn_euclidean_8","finished","euclidean","8","100","1.8871131959147172","","","1564.135568857193","-","eitan-turok","","2023-04-26T19:23:15.000Z","1587","","128","0","0.001","2368","mse","cnn","11","150","7000","100","false","42","0","1.6000521189072603","1.7036506270892426","0.00035611962141954577","0.00025601667832196145","0.000290242545918157","0.09904482466329131","0.09024863432986396","0.09022611071064014","0.0002633208703784901","0.00030717185921872955","1.7526319043619214","0.0917439494108913"
"cnn_euclidean_6","finished","euclidean","6","100","2.285351212546089","","","1692.383316040039","-","eitan-turok","","2023-04-26T18:54:28.000Z","1719","","128","0","0.001","2368","mse","cnn","11","150","7000","100","false","42","0","2.1024565793101417","2.229513180552788","0.0005222830164685879","0.00044203236678845017","0.0004970729022258611","0.12286076637589158","0.11579067371727585","0.11934522706450838","0.00043998201653760457","0.0005158078903802718","2.2711404412327116","0.12149690767129262"
