,name,_step,runtime (secs),loss/val,_timestamp,loss/train,final/%rmse_train,_runtime,final/radius,final/%rmse_test,final/loss_train,final/mape_train,metrics/mape_val,train time,final/scaling,final/%rmse_val,final/loss_test,metrics/%rmse_val,final/loss_val,final/mape_val,final/mape_test,loss,seed,model,epochs,dropout,scaling,distance,batch_size,len_sequence,multiplicity,weight_decay,learning_rate,embedding_size,num_val_sequences,num_test_sequences,num_train_sequences
0,cnn_euclidean_128,143,3023,0.00010273028188620252,1683575723,3.800400207064858e-05,0.5970742654389933,3022,,0.8793189060910801,3.564976784495135e-05,0.05371999851333631,0.06094765032180632,2996.8319776058197,,0.8884278320984792,7.732017386092136e-05,1.0135594796863303,7.893040128472036e-05,0.05579350252419409,0.06078940573454703,mse,46,cnn,500,0,False,euclidean,128,2368,11,0,0.001,128,100,150,7000
1,cnn_euclidean_128,281,5916,7.274829055243784e-05,1683572687,2.871216323367296e-05,0.5452477267847784,5915,,0.8467745284337345,2.9729508356396833e-05,0.04821573232036906,0.057183736418232774,5891.983669519424,,0.8038283927193524,7.170271020041731e-05,0.8529260844436513,6.461400849417773e-05,0.05648774361369586,0.057901519508969865,mse,45,cnn,500,0,False,euclidean,128,2368,11,0,0.001,128,100,150,7000
2,cnn_euclidean_128,289,6034,8.847404631634356e-05,1683566759,3.523720073507639e-05,0.5993862016537957,6033,,0.8569195702784577,3.5926381873296474e-05,0.05272637275887,0.05441964222626253,6009.68554186821,,0.8233632360205058,7.343111499262165e-05,0.9406064337242414,6.779270184301592e-05,0.05480941656261983,0.060744989615025405,mse,44,cnn,500,0,False,euclidean,128,2368,11,0,0.001,128,100,150,7000
3,cnn_euclidean_128,193,3583,7.926274440839247e-05,1683560713,3.0849328204685545e-05,0.5517810386605506,3581,,0.812125066767713,3.04462314625316e-05,0.048806062970649114,0.05375951343413555,3557.71214222908,,0.8618290708349333,6.595471240724624e-05,0.890296267589573,7.427493473362046e-05,0.0548301734812934,0.0560104542547291,mse,43,cnn,500,0,False,euclidean,128,2368,11,0,0.001,128,100,150,7000
4,cnn_euclidean_64,239,4112,7.403123673290305e-05,1683557122,2.9182536982025576e-05,0.5633931719803419,4111,,0.7821852826678232,3.174118662340712e-05,0.04841462781367364,0.05164601412686435,4092.97677731514,,0.78962101523868,6.118138164221423e-05,0.8604140673704902,6.235013477065638e-05,0.04994192974735992,0.054468865254581375,mse,46,cnn,500,0,False,euclidean,128,2368,11,0,0.001,64,100,150,7000
5,cnn_euclidean_64,192,3245,0.00011543976557511612,1683553001,3.385961021341281e-05,0.6305586135778964,3244,,0.8870052145031497,3.97604165157279e-05,0.05274304927014685,0.05693227413025769,3225.304899454117,,0.9338288742131826,7.867782505557787e-05,1.0744289905578503,8.720363663142603e-05,0.05506696993804941,0.059695721566677094,mse,45,cnn,500,0,False,euclidean,128,2368,11,0,0.001,64,100,150,7000
6,cnn_euclidean_64,156,3134,0.00010911711215892938,1683549744,3.9163912332944825e-05,0.5945602402611769,3133,,0.8056558413002374,3.535018792994284e-05,0.049982536165745224,0.06233522325453132,3109.11678981781,,0.792652974768446,6.490813346211934e-05,1.0445913658408696,6.282987384092665e-05,0.04994620869105512,0.056604219430711714,mse,44,cnn,500,0,False,euclidean,128,2368,11,0,0.001,64,100,150,7000
7,cnn_euclidean_64,145,2933,9.753009302052434e-05,1683546597,3.8902930240675974e-05,0.5862865474134902,2933,,0.8132881244856529,3.437319156780307e-05,0.04958546538147834,0.058007029048120134,2908.2655091285706,,0.884232556623429,6.614375734293909e-05,0.987573253083154,7.818672141928057e-05,0.056171351082698266,0.05770453088235535,mse,43,cnn,500,0,False,euclidean,128,2368,11,0,0.001,64,100,150,7000
8,cnn_euclidean_32,164,3315,0.00010651065518484554,1683543649,4.3425099847478455e-05,0.6418839211639138,3314,,0.9323194315538436,4.120149682487615e-05,0.05138492868047256,0.05842740704916945,3290.0651621818542,,0.9293288703366588,8.69219522452882e-05,1.0320399952755976,8.636521492412107e-05,0.05646702080061942,0.05648395049091953,mse,46,cnn,500,0,False,euclidean,128,2368,11,0,0.001,32,100,150,7000
9,cnn_euclidean_32,126,2532,0.0001467913718814162,1683540321,4.444942757235568e-05,0.7114139704955045,2531,,0.950032397717434,5.061098374161785e-05,0.053521406278401226,0.06458886578679085,2507.0920763015747,,1.0431765665621948,9.025615567127368e-05,1.2115748919543363,0.00010882173490244896,0.061237404394631434,0.0627558246041571,mse,45,cnn,500,0,False,euclidean,128,2368,11,0,0.001,32,100,150,7000
10,cnn_euclidean_32,156,3143,0.00013703382035453964,1683537775,4.1733173875730825e-05,0.6989799417915427,3142,,0.9378589734365292,4.8857295902690835e-05,0.05402517143530505,0.06178472663642782,3118.545121908188,,1.015608238892013,8.795794540554206e-05,1.1706144555511846,0.0001031460094905336,0.06240888993396904,0.060890996195459256,mse,44,cnn,500,0,False,euclidean,128,2368,11,0,0.001,32,100,150,7000
11,cnn_euclidean_32,263,5350,8.320397895530355e-05,1683534619,4.0830986910876095e-05,0.6486231764837356,5350,,0.9665143264315028,4.207120250718511e-05,0.049581186019367986,0.05357295678119467,5325.749840497971,,0.8750092335993427,9.341499431973418e-05,0.9121621509101524,7.65641158884109e-05,0.05228350949106794,0.05857853465465625,mse,43,cnn,500,0,False,euclidean,128,2368,11,0,0.001,32,100,150,7000
12,cnn_euclidean_16,163,3303,0.00013712115017544346,1683529256,8.310317980010642e-05,0.929470330007872,3302,,1.1774907721505874,8.639150943649424e-05,0.06006232573653196,0.06579589301889593,3278.1281332969666,,1.160881828890374,0.00013864845184997866,1.1709874046096458,0.00013476466206478594,0.06469360349455265,0.0678214337991788,mse,46,cnn,400,0,False,euclidean,128,2368,11,0,0.001,16,100,150,7000
13,cnn_euclidean_16,204,4145,0.0001709163914472241,1683525939,8.271570659625077e-05,0.9628087883112582,4144,,1.2103204205090758,9.27000762849393e-05,0.061368181221283874,0.06747646592030622,4119.651383399963,,1.1953373854730642,0.0001464875520301266,1.307349958684453,0.00014288314651095808,0.06485793840704543,0.07083445206051171,mse,45,cnn,400,0,False,euclidean,128,2368,11,0,0.001,16,100,150,7000
14,cnn_euclidean_16,163,3308,0.00018515135490834112,1683521783,8.652434275484064e-05,0.9352358703921076,3308,,1.1713697090107704,8.746661332680832e-05,0.059770358752120625,0.07340950940293495,3283.33731508255,,1.1888990349047257,0.0001372106995187977,1.3607033288279309,0.00014134809151973877,0.06396896741606972,0.06880495795134196,mse,44,cnn,400,0,False,euclidean,128,2368,11,0,0.001,16,100,150,7000
15,cnn_euclidean_16,92,1833,0.00018561576246436815,1683518461,9.412034657895686e-05,1.057997254429656,1832,,1.2663672450080403,0.000111935819038069,0.06912764373770008,0.07120126182081724,1808.133901119232,,1.2753945611054485,0.00016036859992292544,1.3624087582820663,0.00016266312864973595,0.0754495070317779,0.07469089159429473,mse,43,cnn,400,0,False,euclidean,128,2368,11,0,0.001,16,100,150,7000
16,cnn_euclidean_8,185,3930,0.00036733370354267384,1683516615,0.0002548932483232302,1.6028273980253305,3929,,1.8051135041404696,0.0002569055667860651,0.09181889097334504,0.09858879260643565,3904.834171772003,,1.749501301889804,0.00032584347628302856,1.9165951673284416,0.0003060754805314119,0.09383584515915976,0.1010905881322737,mse,46,cnn,300,0,False,euclidean,128,2368,11,0,0.001,8,100,150,7000
17,cnn_euclidean_8,102,2007,0.0003518547789156061,1683512674,0.00026634717651479573,1.6715346021547788,2007,,1.889546432593186,0.00027940279262007346,0.09628402660496824,0.099215785445589,1983.1004090309143,,1.833675732767152,0.0003570385720925635,1.8757792485140836,0.0003362366692939152,0.09701085074983462,0.10176659154745288,mse,45,cnn,300,0,False,euclidean,128,2368,11,0,0.001,8,100,150,7000
18,cnn_euclidean_8,151,2745,0.0003174251719845948,1683510656,0.00026355021521932894,1.6307259520053357,2744,,1.8410153005479983,0.00026592671305437075,0.09286433281139894,0.09681575507828684,2720.765219449997,,1.7217826239832663,0.0003389337336851838,1.7816429832730092,0.0002964535404250703,0.0949333142903116,0.09998598257167228,mse,44,cnn,300,0,False,euclidean,128,2368,11,0,0.001,8,100,150,7000
